WeekEndingDay,StarKist,BumbleBee,Others
20170211,1633646.2,1221958.017,2143073.983
20170218,1956683.067,1185431.7,1989170.219
20170225,2057664.65,1428500.467,2220625.468
20170304,3857781.883,2101088.533,2126310.468
20170311,3319315.217,1564222.383,2752445.665
20170318,2232132.85,1578920.9,2136824.714
20170325,2027517.467,1296797.383,2061110.178
20170401,1872226.333,1469475.783,2235632.815
20170408,2302283.417,1798267.95,2397178.56
20170415,2326737.083,1675146.567,2143669.772
20170422,1523669.167,1155484.467,1953228.136
20170429,1560793.21,1350630.383,1909727.864
20170506,1665403.35,1302025,2216076.989
20170513,1642658.25,1384252.25,2211414.633
20170520,1527028.76,1387672.133,2180370.719
20170527,1662588.417,1521240.117,2215927.775
20170603,1686984.933,1308634.633,1947159.011
20170610,2086932.633,1478638.667,2309942.098
20170617,1903491.633,1415572.35,2286316.542
20170624,1736816.383,1244382.217,2288445.913
20170701,1732733.283,1671582.6,2304647.481
20170708,1541723.267,1650496.767,2099111.799
20170715,1864901,1308502.033,2277558.842
20170722,1813043.633,1367906.067,2203705.321
20170729,1853297.367,1271784.867,2062587.952
20170805,1774013.95,1297534.433,2273917.788
20170812,1778662.2,1255401.45,3010609.114
20170819,1601138.2,1269151.367,2645848.882
20170826,1780692.733,1246137.417,2298305.077
20170902,1733761.867,1948957.533,2163971.976
20170909,1929842.283,2393413.967,2379872.654
20170916,1670253,1632668.133,2356930.185
20170923,1890274.033,1283165.667,2038120.726
20170930,1711338.483,1486001.583,2061987.993
20171007,1805390.083,1242318.75,2119180.713
20171014,1588497.267,1220879.683,2459630.787
20171021,1705119.267,1220730.75,1900917.325
20171028,1475477.933,1119205.167,1932415.36
20171104,1507103.267,1286214.233,1945100.68
20171111,1611732.033,1256169.933,2181007.355
20171118,1376078.5,1171229.883,1940712.488
20171125,1051170.3,905593.9167,1432101.903
20171202,1180358.717,923936.3333,1688975.73
20171209,1520139.617,1264694.683,2057489.289
20171216,1607940.967,1082504.883,1821550.173
20171223,1289136.777,989608.0833,1695709.297
20171230,1010466.067,858805.1667,1358181.409
20180106,1728698.2,1521620.417,2223418.103
20180113,1931641.35,1461918.75,2619862.726
20180120,1879422.233,1244258.417,2156971.055
20180127,1780278.6,1117650.35,2024250.987
20180203,1882524.483,1028561.117,2073735.61
20180210,1877564.1,1180183.667,2402634.705
20180217,2307202.267,1419606.917,2602713.884
20180224,1900509.817,1563385.35,2554474.972
20180303,2066747.817,1607844.2,2075616.081
20180310,2065449.333,1556052.333,2380353.901
20180317,2160356.583,1392302.25,2098757.395
20180324,1690465.6,1481815.367,2188002.135
20180331,1976316.733,1457639.933,1894064.939
20180407,1530103.3,1377753,2261690.14
20180414,1655959.417,1139602.333,2366122.911
20180421,1602614.033,996630.5833,2247919.683
20180428,1614413.383,1019655.85,1883573.671
20180505,1787008.417,1236585,2093048.775
20180512,1920738.3,1195728.167,2247601.463
20180519,1727684.333,1217652.083,2035771.523
20180526,1830499.15,1490157.333,1939064.85
20180602,1795750.35,1317507.667,1820868.671
20180609,2156253.283,1194127,2086232.891
20180616,2046424.717,1204328.433,2115817.492
20180623,2102039.05,1155135.01,2032400.417
20180630,2040390.717,1403145.5,2029538.043
20180707,1664597.583,1434537.167,2095073.748
20180714,1728436.983,1505810.667,2211040.712
20180721,1960352.083,1141997.333,2059460.104
20180728,1735679.817,1699795.5,1882907.394
20180804,1771698.183,1766659.333,2038692.809
20180811,1832981.183,1333542.333,2177944.474
20180818,2088202.767,1285444.333,1966964.339
20180825,2062165.367,1132807.583,1912924.078
20180901,1827872.8,1397930.167,1825373.334
20180908,1902214.483,1525830.167,1934860.49
20180915,2636599.85,1528711.333,2254013.221
20180922,1873339.683,1345374.333,1961223.722
20180929,1800536,1191660.167,1836980.9
20181006,1743105.067,1191422.917,1853015.676
20181013,1657939.9,1253343.75,1852002.75
20181020,1970084.417,1246785.167,1666119.265
20181027,1751350.883,1024375.417,1661977.318
20181103,1439564.117,1106031.833,1672461.775
20181110,1525750.683,1173771.167,1782186.962
20181117,1477554.167,1159945.583,1739122.006
20181124,1092025.85,906391.5,1284859.041
20181201,1338493.233,906995.6667,1469374.138
20181208,1700952.783,1067735.083,1804290.156
20181215,1641883.7,1006247.25,1681126.816
20181222,1294005.083,1009965.167,1539133.3
20181229,1013270.9,782680.3333,1246281.475
20190105,1929246.117,1303834.75,1795057.873
20190112,2429205.283,1276547.25,2211674.87
20190119,2256237.933,1349516,2161829.851
20190126,1874948.167,1525995.333,1987449.319
20190202,1745029.667,1550866.167,1863040.607
20190209,1657730.917,1156478.5,1905482.27
20190216,1664616.1,1107408.667,2123442.723
20190223,1914368.033,1389070.667,1878689.827
20190302,2236168.667,1292429,1798761.095
20190309,3504716.167,1417826.25,2234173.632
20190316,3216269.75,1602794.667,1861480.797
20190323,2185754.517,1248713,1880401.94
20190330,2169475.917,1281343.833,1697860.65
20190406,2024712.183,1447691.417,1979867.663
20190413,2575077.517,1248800.167,1900899.111
20190420,2021707.3,1170048.333,1944526.014
20190427,1488403.733,1156444.417,1534935.368
20190504,1640721.15,1208969.25,1735631.487
20190511,1735976.5,1438242,1966464.841
20190518,1657950.883,1291292.583,1854409.095
20190525,1640601.133,1277311,1772032.367
20190601,1628505.517,1260694.833,1695231.904
20190608,2099647.667,1149645.75,1826834.168
20190615,2120160.733,1160895.917,1871913.259
20190622,1872320.917,1113370.5,1767530.614
20190629,1928134.533,1227739.083,1926838.494
20190706,1790073.233,1276813.333,2098039.143
20190713,2083623.133,1234426.667,2033035.397
20190720,2101254.883,1181741,1869728.787
20190727,2368413.517,1137905.583,1784940.054
20190803,2197656.917,1299134.167,1747334.135
20190810,2069398.15,1206458.667,1956788.088
20190817,2099433.517,1135308.483,1914522.4
20190824,2206653.8,1149987.167,2057208.286
20190831,2056565.783,1623053.667,2111030.931
20190907,2187312.033,1271497.5,2027433.531
20190914,1973408.783,1182487.333,2031718.467
20190921,1856919.017,1228333.417,2820981.672
20190928,1844900.25,1170539.083,2409944.601
20191005,1741458.033,1166535.083,1842249.199
20191012,1706496.567,1155242,1893128.294
20191019,1572037.75,1210087.083,1712999.152
20191026,1610190.067,1196671.25,1835389.826
20191102,1680877.2,1213175.25,1536347.705
20191109,1736444.167,1125771.083,1677501.586
20191116,1632351.883,1278360.25,1625437.008
20191123,1433739.2,1085810,1555309.492
20191130,1089160.733,856767.5,1185106.733
20191207,1308145.933,946661,1506047.513
20191214,1520625.55,949603.8333,1634401.493
20191221,1318186.25,935091.25,1466416.988
20191228,1045892.467,781397.8333,1267295.431
20200104,1466905.783,1280136.667,1780895.246
20200111,2015337.717,1662545.667,1951442.399
20200118,1900055.833,1457242.417,1821878.395
20200125,1896019.833,1185940.833,1622048.075
20200201,1864462.783,1264914,1698350.895
20200208,1927300.767,1268851.667,1892288.686
20200215,1931997.55,1045867.75,2216661.478
20200222,1930379.183,1424171.167,1850240.522
20200229,2688826.9,2325743.583,2308087.011
20200307,3494427.417,2924989.833,2942576.616
20200314,5300210.6,4901841.1,5354773.853
20200321,6863585.733,4510568.667,7158744.989
20200328,3823300.833,2149758.25,3587953.751
20200404,3020806.983,2319346.833,2910249.013
20200411,2894738.367,1869362.083,2897151.492
20200418,2324888.933,1459605.25,2555408.393
20200425,2203555.667,1529124.583,2467072.384
20200502,2300858.85,1661038.833,2444622.227
20200509,2442878.833,1589285.25,2336509.266
20200516,2227468.133,1388391.417,2047918.204
20200523,2159607.5,1339094.917,2020207.237
20200530,1940044.2,1173620.083,1920599.24
20200606,2055186.367,1255626.333,2137017.541
20200613,2047979.2,1270464.167,2136459.646
20200620,1906172.617,1183725.833,2134682.925
20200627,1608162.783,1250334.833,2115957.677
20200704,1608743,1250260.167,2232358.209
20200711,1839863.767,1162276.167,2176661.684
20200718,1981416.1,1402274.583,2303814.994
20200725,2104659.317,1347287.583,2274599.331
20200801,2018986.75,1299219.917,2448240.115
20200808,2187720.4,1405885.917,2153335.082
20200815,2152547.6,1359917.167,2108316.809
20200822,2275808.333,1293108.333,2245611.772
20200829,2243021.267,1715168.333,2226145.331
20200905,2157311.283,1617956.583,2125213.528
20200912,2092811.517,1214079.667,2016610.106
20200919,2055465.217,1343880.75,1920566.145
20200926,1969903.167,1186485.5,2014960.026
20201003,1910812.933,1265634.833,2193858.806
20201010,2050215.85,1211826,1971647.419
20201017,2035265.283,1194759.167,1947029.314
20201024,1918309.1,1201778.667,2035716.307
20201031,1865389.683,1170154.583,1962252.805
20201107,2012993.883,1157570.667,2000611.137
20201114,1958350.033,1017838.75,1943224.589
20201121,1925341.033,1179208.5,1917794.451
20201128,1387622.233,714244.4167,1376751.166
20201205,1571405.817,865462.75,1584884.388
20201212,1781006.35,1114528.5,1794423.252
20201219,1690814.333,1050734.5,1665098.507
20201226,1318300.5,816680.6667,1303621.314
