WeekEndingDay,StarKist,BumbleBee,Others
20131214,1.886580251,1.728954535,1.360015301
20131221,1.862990151,1.793591904,1.368806824
20131228,1.872182312,1.795276235,1.394762659
20140104,1.726394798,1.711271211,1.366425117
20140111,1.70715826,1.737217454,1.303996987
20140118,1.747923191,1.765783811,1.360078627
20140125,1.750498828,1.796410363,1.390330609
20140201,1.85959728,1.771461823,1.369589151
20140208,1.80584847,1.740965481,1.383717506
20140215,1.88416633,1.706168843,1.339367928
20140222,1.879327585,1.773139962,1.364134402
20140301,1.822208082,1.699532415,1.370815882
20140308,1.79105456,1.297155803,1.249898279
20140315,1.706439928,1.343071947,1.23405084
20140322,1.702735264,1.467822836,1.313249205
20140329,1.805418064,1.527971568,1.304482858
20140405,1.683433831,1.742319945,1.279919873
20140412,1.70030987,1.695831155,1.284864065
20140419,1.715312451,1.624662077,1.284865809
20140426,1.892417312,1.714663276,1.347183675
20140503,1.851815283,1.682934003,1.383582865
20140510,1.754831844,1.661493661,1.350507064
20140517,1.787742253,1.591147045,1.327209672
20140524,1.950100382,1.683837857,1.347257779
20140531,1.889869342,1.666515786,1.125372566
20140607,1.862611172,1.630704829,1.15550142
20140614,1.850782813,1.716332838,1.185272744
20140621,1.78655872,1.661373728,1.22389727
20140628,1.807025217,1.725389085,1.332671891
20140705,1.87210067,1.668367328,1.348557099
20140712,1.873211725,1.690534387,1.231225517
20140719,1.844327377,1.752989215,1.249544072
20140726,1.923498244,1.689656605,1.282620795
20140802,1.972486136,1.73612004,1.306265842
20140809,1.927524673,1.667143811,1.284997289
20140816,1.875017063,1.679681621,1.241086871
20140823,1.829066106,1.739099533,1.341974051
20140830,1.74805344,1.662762856,1.340661928
20140906,1.779862775,1.640658097,1.354434246
20140913,1.701185425,1.623830675,1.334604121
20140920,1.786801439,1.43449897,1.280051369
20140927,1.77532976,1.45362497,1.106241398
20141004,1.862249379,1.642769288,1.150960936
20141011,1.802409176,1.653985649,1.261091447
20141018,1.838656372,1.672508897,1.241428609
20141025,1.730329001,1.663796536,1.147595771
20141101,1.741539449,1.71758568,1.18334086
20141108,1.757734514,1.679807611,1.296389788
20141115,1.792810977,1.640989623,1.302898519
20141122,1.758618754,1.696772557,1.29250531
20141129,1.879128621,1.679013678,1.311268915
20141206,1.860263773,1.689862639,1.27685987
20141213,1.871295885,1.684957729,1.270919123
20141220,1.83943154,1.718933944,1.274411894
20141227,1.863119957,1.69114724,1.315968414
20150103,1.789453741,1.717787233,1.275608692
20150110,1.859439055,1.51857208,1.272025396
20150117,1.688566522,1.594924338,1.234561179
20150124,1.750507595,1.747423982,1.25868017
20150131,1.820963282,1.751687791,1.297585962
20150207,1.821539105,1.670933776,1.309978532
20150214,1.798196444,1.636930259,1.295224394
20150221,1.622345858,1.634340382,0.947178834
20150228,1.716293543,1.50740619,0.967398138
20150307,1.665811157,1.5586242,1.239332609
20150314,1.70934266,1.60158351,1.252510651
20150321,1.319507738,1.642103222,1.25455019
20150328,1.451008477,1.605661459,1.150358149
20150404,1.820263839,1.35596568,1.192638466
20150411,1.837474514,1.380546389,1.229194165
20150418,1.80056347,1.621634719,1.177319135
20150425,1.87963649,1.672042698,1.250018889
20150502,1.78005474,1.682159211,1.314249856
20150509,1.717014796,1.587759352,1.313721761
20150516,1.74259574,1.634915545,1.305143162
20150523,1.767786163,1.682225458,1.326681122
20150530,1.794730807,1.635792471,1.270585992
20150606,1.767564342,1.51378282,1.22452912
20150613,1.790718057,1.487163215,1.28664444
20150620,1.731214837,1.494810535,1.310385412
20150627,1.78518134,1.604361893,1.334178282
20150704,1.818770159,1.593016784,1.310530808
20150711,1.774650918,1.624747115,1.288019968
20150718,1.787758759,1.6834866,1.269590173
20150725,1.78062425,1.635984084,1.083041339
20150801,1.799473018,1.637142452,1.126977548
20150808,1.836984469,1.417225303,1.22457788
20150815,1.822993682,1.621531902,1.244716156
20150822,1.738365912,1.679489907,1.296669501
20150829,1.736147124,1.490798797,1.303759354
20150905,1.53949367,1.493709631,1.288037334
20150912,1.544220543,1.305054398,1.305371132
20150919,1.770742395,1.351121512,1.206476607
20150926,1.893528874,1.628442042,1.216578751
20151003,1.878659579,1.644850387,1.245529113
20151010,1.806305001,1.714533693,1.203503504
20151017,1.650896541,1.71654785,1.242040938
20151024,1.81813669,1.662241209,1.279052432
20151031,1.811226597,1.666011624,1.309824567
20151107,1.877750806,1.655865746,1.300697495
20151114,1.837711338,1.621750132,1.309455384
20151121,1.787285114,1.662646695,1.309350777
20151128,1.855256092,1.663160788,1.356511591
20151205,1.836827219,1.616582718,1.313307563
20151212,1.895428538,1.648779239,1.299321065
20151219,1.904972235,1.716118701,1.269280343
20151226,1.903432945,1.715159665,1.330763104
20160102,1.900253704,1.487371992,1.263309656
20160109,1.749668386,1.552286398,1.228440954
20160116,1.784550863,1.282645667,1.238159021
20160123,1.777689886,1.427665069,1.328196809
20160130,1.844934883,1.595310307,1.315881905
20160206,1.78530938,1.63134659,1.323946789
20160213,1.27239601,1.493207079,1.275207209
20160220,1.302998981,1.569319786,1.293439048
20160227,1.621355865,1.591872241,1.295081773
20160305,1.67894321,1.559847604,1.266131789
20160312,1.579034526,1.666395254,1.303612962
20160319,1.767040211,1.688836657,1.267863997
20160326,1.864939417,1.636134811,1.324331539
20160402,1.617203522,1.625771369,1.352489977
20160409,1.625255775,1.629987156,1.282880333
20160416,1.84904018,1.66965941,1.310662596
20160423,1.940237876,1.694340668,1.331464016
20160430,1.953276131,1.678530487,1.350702554
20160507,1.799954111,1.516626176,1.328231498
20160514,1.732422641,1.417040523,1.339377233
20160521,1.878626014,1.489670599,1.332195537
20160528,1.85060595,1.595881912,1.285214385
20160604,1.856059844,1.579247206,1.237549663
20160611,1.72225314,1.657801931,1.239205738
20160618,1.78828778,1.629965613,1.289527013
20160625,1.834207256,1.629769963,1.29926151
20160702,1.876942975,1.563867273,1.304887211
20160709,1.829740455,1.676435519,1.309552748
20160716,1.807000609,1.694961356,1.294260709
20160723,1.875147558,1.551826419,1.335460697
20160730,1.922410457,1.573404043,1.28903919
20160806,1.88053927,1.655854353,1.256986339
20160813,1.777478292,1.621019849,1.241806972
20160820,1.73705448,1.466369904,1.237927052
20160827,1.680133226,1.744004944,1.290588507
20160903,1.831445592,1.479091325,1.329303147
20160910,1.888434261,1.495911887,1.33122928
20160917,1.867702195,1.599418952,1.306533262
20160924,1.921744484,1.606153598,1.322594437
20161001,1.969660444,1.540487158,1.329336955
20161008,1.887523765,1.613239495,1.314266018
20161015,1.860886365,1.679610944,1.265829902
20161022,1.810136282,1.816100572,1.285642147
20161029,1.900708202,1.722860082,1.267374443
20161105,1.856101434,1.726550008,1.253670561
20161112,1.851030034,1.621071725,1.311910876
20161119,1.903369785,1.621527393,1.308865731
20161126,1.907883118,1.667659793,1.354033175
20161203,1.835082526,1.673036443,1.330820557
20161210,1.861195698,1.638505515,1.299620591
20161217,1.896853137,1.672813795,1.294316158
20161224,1.879885623,1.753900992,1.312869098
20161231,1.901454089,1.673257246,1.332820052
20170107,1.59868848,1.69876736,1.33138405
20170114,1.662221015,1.20745168,1.30725609
20170121,1.758198275,1.289613468,1.33458761
20170128,1.842148488,1.600241565,1.335731854
20170204,1.862533016,1.61952501,1.325019356
20170211,1.893515958,1.704561066,1.318119754
20170218,1.693412544,1.710248182,1.320844704
20170225,1.668817482,1.667569319,1.302043758
20170304,1.280333228,1.508363217,1.317897237
20170311,1.404231239,1.683807397,1.188510909
20170318,1.744815381,1.632783637,1.293732618
20170325,1.803556186,1.662378555,1.300696498
20170401,1.833703003,1.633314477,1.26740344
20170408,1.634835326,1.530521461,1.255469601
20170415,1.640696384,1.591818927,1.315355983
20170422,1.891628362,1.71803522,1.324230556
20170429,2.002982977,1.686752222,1.366403297
20170506,1.955083806,1.76305167,1.320152668
20170513,1.963567741,1.713371121,1.312633283
20170520,2.01076869,1.659153762,1.278287818
20170527,1.979254852,1.647321506,1.286301946
20170603,1.92567983,1.709674911,1.327592906
20170610,1.816885404,1.640605325,1.280841685
20170617,1.873903897,1.683026961,1.309333596
20170624,1.949818745,1.748391451,1.311584112
20170701,1.929832578,1.591053311,1.316722334
20170708,2.014290156,1.569924517,1.341605912
20170715,1.928456948,1.735633298,1.312528456
20170722,1.933542655,1.736502562,1.332451985
20170729,1.863182165,1.756542587,1.347584852
20170805,1.932802794,1.780348236,1.335216104
20170812,1.947036992,1.793369985,1.198869725
20170819,2.043086156,1.782099495,1.208087908
20170826,1.985092736,1.789105279,1.320538292
20170902,1.972604338,1.447133343,1.349985301
20170909,1.936598225,1.507761052,1.347584118
20170916,2.002108249,1.621348764,1.309706634
20170923,1.745801911,1.740268562,1.347145346
20170930,1.814496635,1.663031929,1.347420062
20171007,1.916582816,1.716241432,1.344694901
20171014,2.019060874,1.732209118,1.268007116
20171021,1.938642437,1.709773953,1.358405848
20171028,2.018719632,1.778492335,1.34632839
20171104,1.970143152,1.701182566,1.359524896
20171111,1.955524488,1.751772918,1.335436996
20171118,2.047267652,1.778203357,1.362329179
20171125,2.042054717,1.808820675,1.401598731
20171202,2.099206,1.819805564,1.38271795
20171209,2.013758313,1.717809625,1.358303805
20171216,1.898527927,1.757619471,1.383045912
20171223,1.994491505,1.810528491,1.382161332
20171230,2.022670644,1.744190869,1.388336858
20180106,1.95406975,1.491783756,1.328403392
20180113,1.961965232,1.597895943,1.32322875
20180120,1.951490147,1.728872187,1.419639607
20180127,1.962006317,1.780701111,1.423026348
20180203,1.94251029,1.883052323,1.423352903
20180210,1.91517439,1.77986804,1.306588024
20180217,1.787376906,1.661523463,1.235651513
20180224,1.951563063,1.606921288,1.274927895
20180303,1.925680036,1.62286252,1.404618873
20180310,1.900755035,1.670740864,1.387134921
20180317,1.833377434,1.679263493,1.411590628
20180324,2.065391334,1.604720091,1.406186494
20180331,1.873723421,1.574119971,1.473964779
20180407,2.04963623,1.622305841,1.340372528
