TRX_DATE,NET_SALES
6/23/2016,192
9/28/2015,2781
5/18/2016,2108.01
10/24/2019,529.95
11/27/2019,436.81
7/18/2017,59.7
7/31/2018,2132.61
5/23/2015,5980
5/16/2015,23.85
2/18/2019,31.89
3/28/2017,2877.9
3/22/2018,252.95
10/16/2015,28.5
1/24/2017,0
7/3/2019,59.9
4/25/2019,1599.8
9/14/2018,15.95
8/18/2017,899.85
5/17/2019,3684.66
11/10/2017,924.65
3/13/2017,1479.7
1/11/2017,504
6/24/2019,4199.51
8/15/2017,341.96
11/19/2015,1264
12/3/2015,2188
2/10/2016,0
9/28/2017,289.9
6/7/2018,2519.65
10/4/2017,299.95
11/12/2018,45.95
10/15/2019,3412.02
3/6/2018,5.95
4/26/2019,0
4/25/2019,4359.6
5/19/2016,449
12/18/2017,4393.16
4/4/2017,38.85
6/7/2015,639
4/11/2017,440.85
2/18/2016,569
4/5/2016,448
9/24/2019,1279.9
3/14/2017,662.85
12/1/2018,2462.01
11/13/2015,0
3/7/2019,99.75
9/23/2019,225
4/20/2016,1394
6/13/2016,6877
10/9/2015,529
6/14/2019,25.9
4/7/2017,77.7
6/27/2019,2369.6
11/9/2019,299.85
12/8/2015,12696
8/1/2016,4604.25
11/21/2016,0
7/14/2015,0
9/12/2016,2082
5/17/2019,899.85
4/2/2018,179.7
10/13/2018,0
6/8/2015,38
1/26/2017,283.95
1/18/2016,1197
1/17/2018,5941.86
11/10/2018,6.95
7/23/2018,1130.6
5/13/2016,30436.5
12/10/2018,194.25
2/21/2018,257.19
10/30/2018,56.15
2/11/2019,155
5/31/2019,-7.11E-15
11/15/2017,2764.61
1/25/2016,20
12/4/2018,398.85
6/13/2016,4081.25
9/30/2016,44
9/27/2019,181.3
12/8/2018,16.95
7/5/2019,2777.42
12/28/2017,2232.2
4/5/2017,1344.65
11/5/2015,1433.56
3/16/2017,5729.05
7/1/2016,40
12/5/2015,825
10/11/2017,2.49E-14
5/20/2015,276
8/16/2017,1176.05
6/10/2015,50
9/18/2019,5466.56
1/30/2017,103.6
8/3/2017,2335.82
10/20/2018,314.64
3/3/2016,26013
7/15/2015,396
4/20/2017,2399.7
11/14/2016,387
9/10/2019,3165.92
1/12/2016,2192.64
6/8/2018,297.85
11/11/2015,4403
6/11/2019,3519.55
1/4/2018,36151.82
1/15/2018,659.77
12/8/2018,0
12/18/2015,7610.55
7/31/2019,951.71
12/2/2017,3899.7
10/7/2017,-1.42E-14
4/9/2015,894
1/2/2019,749.85
5/25/2017,428.89
1/23/2016,16134.5
6/25/2016,13113
2/22/2018,15.95
11/8/2017,-19.95
1/5/2018,419.95
12/6/2016,17855.25
3/5/2019,197.51
7/7/2017,0
10/20/2017,75.95
7/14/2015,2094
6/3/2015,254.45
4/28/2015,69.5
2/3/2018,1842.36
4/3/2017,698.9
9/19/2016,622.58
4/4/2016,5502
5/3/2019,17633.38
3/6/2018,14.95
9/18/2018,1749.75
3/13/2017,25.9
1/20/2016,884
6/28/2019,1879.65
6/13/2019,194.25
2/10/2016,2595
5/21/2019,269.85
5/3/2016,89.7
5/4/2015,28.5
7/31/2018,2033.48
8/26/2017,45.9
7/11/2016,0
9/4/2019,313.95
9/23/2017,779.9
4/24/2019,3085.96
10/27/2016,396
2/8/2017,1046.75
1/29/2019,63.8
11/9/2015,1669
3/7/2016,44
2/6/2019,0
10/12/2018,155.4
12/16/2015,85.88
7/1/2016,0
12/8/2017,16.95
1/20/2018,3163.82
11/5/2015,30
8/23/2016,1590
8/28/2017,-3.55E-15
10/10/2018,599.95
9/11/2017,138.35
8/14/2015,99
6/10/2016,300
8/22/2019,384.22
8/5/2015,1300.76
12/6/2016,576
2/5/2018,48.76
4/12/2017,1869.8
12/21/2017,1799.8
5/12/2017,3032.72
8/4/2016,0
12/7/2015,6458
10/18/2016,1316
11/9/2018,0
7/7/2017,27226.66
12/27/2016,5269
12/2/2016,1322
12/2/2016,8027
6/2/2018,724.96
12/18/2017,3287.66
5/8/2019,1364.22
5/7/2019,6953.83
7/8/2016,15
2/18/2019,53.9
7/1/2015,4190.75
10/28/2016,0
9/20/2018,202.54
8/31/2018,849.9
12/6/2017,389.78
8/15/2017,-50
2/5/2019,529.95
12/19/2018,171.9
8/5/2015,329
10/14/2017,15.95
12/4/2017,0
10/30/2019,599.95
5/15/2018,334.34
12/30/2019,139.75
8/17/2015,947.5
9/17/2018,2949.5
6/6/2018,475.95
11/6/2015,30
8/1/2016,498
7/10/2015,129
5/20/2019,1538.85
1/31/2019,0
3/12/2019,99
5/15/2019,499.75
10/17/2018,3999.5
9/29/2015,5022
4/24/2017,4399.6
11/29/2016,1883.55
6/1/2015,6228
10/27/2018,0
7/3/2019,368.41
11/6/2018,1023.56
6/10/2016,47.7
2/18/2016,90
8/15/2017,915.8
6/10/2016,16.95
1/7/2019,1115.56
6/7/2016,59.9
9/23/2015,1611.19
2/23/2018,2074.81
1/10/2019,89.85
6/8/2015,1008
7/11/2018,755.54
6/12/2018,7223.56
3/7/2016,3516.67
8/31/2016,25
12/5/2016,133
1/29/2016,756
2/23/2018,181.3
9/23/2019,2085.7
5/15/2015,108
7/11/2016,2618
7/9/2018,1394.5
12/6/2017,0
12/2/2016,24862
9/11/2018,2096.3
12/19/2018,3249.35
5/11/2016,479
3/22/2016,0
6/18/2015,1347
1/23/2017,1112.9
2/12/2016,0
6/20/2019,1514.81
11/9/2015,0
8/25/2015,1680
12/9/2016,9987.15
7/5/2018,879.56
5/31/2018,1187.55
7/30/2019,21.9
11/18/2019,384.81
3/22/2017,1759.45
6/21/2016,329
4/24/2017,13699.21
12/10/2015,480.55
10/7/2019,59.8
1/30/2019,699.65
8/16/2016,39.9
6/23/2016,74.95
12/6/2018,4739.41
8/8/2018,15.95
8/15/2016,11980
11/17/2016,1699
2/20/2019,3459.4
5/9/2018,1305.56
6/16/2016,3838
6/6/2019,2528.86
7/26/2019,97.3
8/22/2017,282.31
7/31/2019,1468.4
3/2/2016,15
1/15/2018,19703.24
11/13/2017,0
11/5/2019,4347.1
4/24/2017,519.95
8/28/2019,8678.92
10/14/2016,30
10/8/2019,95.84
12/13/2018,639.92
10/27/2015,300
1/14/2019,228.58
12/10/2016,3147.65
8/16/2019,1422.4
2/15/2019,3529.7
11/6/2015,11721
6/28/2016,6348
1/4/2017,939.9
1/4/2017,7344
4/27/2016,1032
9/26/2018,455.99
5/3/2017,29504.72
4/14/2015,387
4/4/2016,375
1/5/2017,18172
9/24/2016,3075.65
12/16/2016,203
9/6/2017,13378.33
6/27/2016,150
5/4/2016,68.94
7/26/2016,0
12/18/2018,5699.05
8/17/2016,75
4/23/2018,7519.2
10/12/2018,162.06
10/25/2019,99
9/28/2017,1730.73
5/13/2016,5362
7/17/2019,828.7
6/26/2018,2399.7
7/1/2016,200
4/16/2018,1084.61
8/22/2016,5594
12/15/2015,4541.5
12/17/2015,4688.25
9/6/2019,109.12
11/7/2016,449
10/10/2019,143.76
3/3/2016,1992
12/15/2017,1360.52
5/8/2015,58.85
5/23/2019,1632.27
11/30/2018,517.78
4/26/2018,1042.62
4/19/2017,593.85
5/22/2019,13668.76
6/1/2018,872.91
7/9/2019,2149.6
9/26/2018,639.75
7/16/2015,0
9/1/2015,3444
11/25/2019,3338.75
1/25/2019,1120.06
5/18/2016,262.06
2/6/2017,1439.9
6/26/2015,198
8/15/2019,1270.31
7/18/2019,418
2/14/2017,39.9
4/25/2017,3599.6
11/3/2015,9522
7/12/2017,0
2/15/2019,19.95
7/26/2019,43.8
8/23/2018,418.9
4/17/2019,239.6
12/11/2019,3169.4
4/1/2019,164.45
6/19/2015,72
10/21/2015,375
3/20/2017,419.95
5/13/2015,1426
2/17/2017,99.75
11/11/2019,342.76
9/2/2016,29.97
3/29/2019,115.32
10/10/2016,9612.75
1/17/2017,287
1/20/2018,113.73
12/19/2018,1756.36
12/20/2016,11682
1/18/2019,9541.98
12/16/2015,74247.75
12/5/2016,3666
8/4/2015,2615.97
6/10/2015,2094.75
11/12/2018,9298.45
2/8/2017,587.85
12/27/2017,54957.04
6/6/2016,6229
12/16/2015,1984
9/13/2019,2554.97
12/10/2015,16880.25
5/28/2015,1137
5/1/2017,852.8
6/9/2016,1495
1/15/2016,10062
5/9/2019,3713.3
11/7/2016,11517.65
4/21/2015,1077
9/4/2018,851.9
6/20/2019,1049.65
11/5/2018,1799.8
8/6/2018,142.45
12/26/2017,3199.6
