Brand,time_period,qua,nat,compnat
A1,2011-09-19,0.65594001850671,4751616,11006802
A1,2011-09-26,0.606667189567053,2481216,18616335
A1,2011-10-03,0.661743098374762,3071605,6901795
A1,2011-10-10,0.627831302112442,5181092,9732670
A1,2011-10-17,0.649559083587113,4108722,9193313
A1,2011-10-24,0.52749408215865,3952981,7445208
A1,2011-10-31,0.611160309778501,6372269,19954586
A1,2011-11-07,0.671668431189306,2885655,11191607
A1,2011-11-14,0.601246353247639,5461309,9018380
A1,2011-11-21,0.603700870163868,5548047,10589888
A1,2011-11-28,0.647095864080466,9826366,21267481
A1,2011-12-05,0.609968641996917,8176805,11062179
A1,2011-12-12,0.630294058574818,5003848,11701421
A1,2011-12-19,0.635736657967943,5154407,12983024
A1,2011-12-26,0.630453538194904,1763723,10994178
A1,2012-01-02,0.618937620102205,2692857,2155281
A1,2012-01-09,0.592570583322598,2437712,3103038
A1,2012-01-16,0.595644927534525,430508,7563419
A1,2012-01-23,0.567340511496932,447814,3821798
A1,2012-01-30,0.61987280560765,950066,15581547
A1,2012-02-06,0.582116805127927,254619,4833520
A1,2012-02-13,0.607089667019196,2353248,1360368
A1,2012-02-20,0.591727862078167,2553001,10541330
A1,2012-02-27,0.603769368722676,2825476,13278261
A1,2012-03-05,0.577580186921943,2700077,10456253
A1,2012-03-12,0.589848120925878,2406543,14591858
A1,2012-03-19,0.599093711171692,4864524,10312788
A1,2012-03-26,0.590394283253196,2384247,6791770
A1,2012-04-02,0.656621009091139,784448,3174542
A1,2012-04-09,0.620642272652496,1019967,5008175
A1,2012-04-16,0.599487279490055,1538213,7333679
A1,2012-04-23,0.599997453790307,2080131,5218867
A1,2012-04-30,0.608100513675956,4703058,7495577
A1,2012-05-07,0.580187132543719,2486961,5726649
A1,2012-05-14,0.5718947975223,2002412,10082117
A1,2012-05-21,0.588668117464726,151510,10161051
A1,2012-05-28,0.689119522618457,731414,15061670
A1,2012-06-04,0.595181753778614,361846,10638734
A1,2012-06-11,0.556878817092253,526003,15689664
A1,2012-06-18,0.59087335215769,122488,11011288
A1,2012-06-25,0.660418897577646,4298136,18321164
A1,2012-07-02,0.59552288430738,2038618,13488709
A1,2012-07-09,0.601403224930222,1172482,7810655
A1,2012-07-16,0.601465807645881,774317,4709072
A1,2012-07-23,0.549940997154851,645706,13095976
A1,2012-07-30,0.57482294860637,1015417,23256802
A1,2012-08-06,0.639243990158916,1447793,16962971
A1,2012-08-13,0.571358717911588,1536099,5236420
A1,2012-08-20,0.617741975039742,1096611,6908567
A1,2012-08-27,0.53954325117897,2631607,20623989
A1,2012-09-03,0.644311765622661,81416,25673650
A1,2012-09-10,0.602596170868608,152745,19486424
A1,2012-09-17,0.670724948305152,125802,30088140
A1,2012-09-24,0.652246985849742,428863,24622293
A1,2012-10-01,0.578472494189691,477335,26639167
A1,2012-10-08,0.612212756343072,231793,23600662
A1,2012-10-15,0.644807691201904,1636029,25361744
A1,2012-10-22,0.632465110125245,2519441,18419147
A1,2012-10-29,0.622963153760826,5517632,43170938
A2,2007-11-05,0.654614707668014,7090969,35192100
A2,2007-11-12,0.686554212510482,7868706,44226386
A2,2007-11-19,0.676663966185091,11069611,45287890
A2,2007-11-26,0.629013308642139,31570387,84361674
A2,2007-12-03,0.709838507362566,9255761,49409822
A2,2007-12-10,0.656866041156085,10184171,45116763
A2,2007-12-17,0.668116596658977,9110485,32740262
A2,2007-12-24,0.669052398217315,5632532,19217027
A2,2007-12-31,0.687901593585763,15642510,29981402
A2,2008-01-07,0.704109096955839,3480079,25102215
A2,2008-01-14,0.728758304704511,3100122,23325362
A2,2008-01-21,0.672299972480549,2775419,15797187
A2,2008-01-28,0.633446060882809,6960172,38355434
A2,2008-02-04,0.6898524730692,867721,11281885
A2,2008-02-11,0.693768705496775,712400,7175955
A2,2008-02-18,0.669880418326108,238870,11406486
A2,2008-02-25,0.667487219012784,3792602,20693571
A2,2008-03-03,0.678147808046886,1616231,15579391
A2,2008-03-10,0.774901687980047,1966891,17093780
A2,2008-03-17,0.699652530191117,2037141,20455214
A2,2008-03-24,0.622720120466955,1692528,13823643
A2,2008-03-31,0.651753284090235,4504299,24513309
A2,2008-04-07,0.732685085188092,794871,20813500
A2,2008-04-14,0.717061774587439,834382,15911119
A2,2008-04-21,0.669565218569928,2950262,20733737
A2,2008-04-28,0.702166134148349,7821765,27460941
A2,2008-05-05,0.643362686560856,4426386,18626968
A2,2008-05-12,0.632015806463709,738402,24400409
A2,2008-05-19,0.686441412123435,453854,25559815
A2,2008-05-26,0.711156728505495,2661766,35399550
A2,2008-06-02,0.622050930113599,2808142,23421183
A2,2008-06-09,0.72685999294304,3989753,16046233
A2,2008-06-16,0.647082161616565,3560974,17242785
A2,2008-06-23,0.675106708084952,2306324,14066691
A2,2008-06-30,0.615800851689152,3133905,29162462
A2,2008-07-07,0.664465743997486,548859,13343427
A2,2008-07-14,0.702988764247152,852722,19835236
A2,2008-07-21,0.696778422878162,710285,16828765
A2,2008-07-28,0.697347112052603,3981322,27828870
A2,2008-08-04,0.743890874995172,2952362,19027163
A2,2008-08-11,0.708017265802754,3144410,15589709
A2,2008-08-18,0.760568625679154,3291276,22739856
A2,2008-08-25,0.628413008278771,2619954,15396198
A2,2008-09-01,0.738033327173386,6439811,59134728
A2,2008-09-08,0.652172122714772,1562732,30080827
A2,2008-09-15,0.67221151954278,750844,22703828
A2,2008-09-22,0.658847679125637,1137413,20233812
A2,2008-09-29,0.672964461571732,6466052,42701823
A2,2008-10-06,0.630319877353757,1404406,18479904
A2,2008-10-13,0.7137656830596,3318376,21015770
A2,2008-10-20,0.61447459895477,4379465,33953293
A2,2008-10-27,0.677836146522896,11995846,52379610
A2,2008-11-03,0.701758460221187,2870502,27334944
A2,2008-11-10,0.66452312278816,3578993,25765292
A2,2008-11-17,0.694086664150935,3045758,34544360
A2,2008-11-24,0.687117663090125,6701221,42304029
A2,2008-12-01,0.653687194981929,14902184,64182764
A2,2008-12-08,0.633677123921235,3345104,34441488
A2,2008-12-15,0.678415064327714,6113904,33609011
A2,2008-12-22,0.676070313353528,3166779,19751228
A2,2008-12-29,0.659673035709746,13460542,21748749
A2,2009-01-05,0.6967079260116,2617262,14670491
A2,2009-01-12,0.671353386159637,1728329,20901904
A2,2009-01-19,0.718708990482307,1021719,6261296
A2,2009-01-26,0.734233044126069,2031516,17989513
A2,2009-02-02,0.671406799828802,109765,6705934
A2,2009-02-09,0.668460558882394,330283,7848428
A2,2009-02-16,0.660460177524246,476691,16447971
A2,2009-02-23,0.725539524437879,3470788,23518321
A2,2009-03-02,0.640179174500129,2323026,12981534
A2,2009-03-09,0.599174700031644,2359705,12399035
A2,2009-03-16,0.62509784542876,1331324,20591397
A2,2009-03-23,0.663117586438206,1874151,12278674
A2,2009-03-30,0.710742560249163,2684431,18829487
A2,2009-04-06,0.716310010589339,825877,14556200
A2,2009-04-13,0.63896930672375,376186,11237807
A2,2009-04-20,0.672783001031295,49937,22057670
A2,2009-04-27,0.674569359902808,457903,23918057
A2,2009-05-04,0.641047325651064,233427,14569327
A2,2009-05-11,0.663210952136729,6879,23251636
A2,2009-05-18,0.597762863278572,43052,21570298
A2,2009-05-25,0.773533821923932,1323032,15570879
A2,2009-06-01,0.613665584861658,1947183,30605777
A2,2009-06-08,0.678246170554349,175063,13145049
A2,2009-06-15,0.690940165706781,142588,24733076
A2,2009-06-22,0.605345120919472,183714,21785801
A2,2009-06-29,0.622939193114932,989042,26472923
A2,2009-07-06,0.632140698571586,218744,12130414
A2,2009-07-13,0.619474297796508,564058,13387553
A2,2009-07-20,0.618610846235041,231215,6661834
A2,2009-07-27,0.652709757295733,1179805,20805292
A2,2009-08-03,0.662275979191329,188877,19175649
A2,2009-08-10,0.688332771971971,336012,25979690
A2,2009-08-17,0.625877759706039,154473,16964678
A2,2009-08-24,0.608532987902507,319441,13692779
A2,2009-08-31,0.664674302728422,3130090,30602901
A2,2009-09-07,0.635950609637366,4884655,31945162
A2,2009-09-14,0.609199995494998,7274837,27171344
A2,2009-09-21,0.526493197881271,5257382,27599422
A2,2009-09-28,0.611572720954763,4205272,34904511
A2,2009-10-05,0.708558547590224,2758576,16046355
A2,2009-10-12,0.579619806859796,5564675,26046070
A2,2009-10-19,0.64712903679369,4416565,29711674
A2,2009-10-26,0.65839203016921,9508986,47281165
A2,2009-11-02,0.662209455196648,6706851,25213626
A2,2009-11-09,0.709361784282943,5570746,27827970
A2,2009-11-16,0.626266696928692,4972655,25872922
A2,2009-11-23,0.612775657421393,6171397,28655512
A2,2009-11-30,0.632156545829465,6219662,57905571
A2,2009-12-07,0.569568003773982,3082080,32179820
A2,2009-12-14,0.667725213221027,2974235,32504272
A2,2009-12-21,0.647965448882758,1488529,23728307
A2,2009-12-28,0.563461984825063,1801716,26622961
A2,2010-01-04,0.706460128169956,1647120,9063866
A2,2010-01-11,0.648581026416863,494827,16369269
A2,2010-01-18,0.668791220532427,1848120,19393772
A2,2010-01-25,0.677686210265048,1550504,7354463
A2,2010-02-01,0.606186048481091,1762095,19002196
A2,2010-02-08,0.665057314558369,1381755,6738161
A2,2010-02-15,0.627296380453355,498723,10802522
A2,2010-02-22,0.585769892201536,940903,9859370
A2,2010-03-01,0.676424295019991,2709986,30012006
A2,2010-03-08,0.644566437616939,1063543,16219599
A2,2010-03-15,0.627964554337401,2652047,20721636
A2,2010-03-22,0.580438549242485,2955171,22382231
A2,2010-03-29,0.642442989560826,1938759,27800241
A2,2010-04-05,0.610791992708035,1498897,35030940
A2,2010-04-12,0.559343455511376,861974,16107308
A2,2010-04-19,0.611654919087829,524742,13453388
A2,2010-04-26,0.674704914398057,4460955,19018376
A2,2010-05-03,0.58561490850684494,4839567,20607586
A2,2010-05-10,0.620641125036894,2935887,30151208
A2,2010-05-17,0.663534094141215,4085860,35874982
A2,2010-05-24,0.617601322820768,3348569,33341517
A2,2010-05-31,0.477358920365202,6124993,27589811
A2,2010-06-07,0.533277664766987,1329009,14202142
A2,2010-06-14,0.668245510995181,3567627,14821304
A2,2010-06-21,0.555436424084587,2742263,13252175
A2,2010-06-28,0.606650052028953,5382429,37117130
A2,2010-07-05,0.656261715947513,4102281,13848824
A2,2010-07-12,0.649740494688861,2419953,13187008
A2,2010-07-19,0.625786290405362,1904173,13802233
A2,2010-07-26,0.612905898437398,4974264,30060431
A2,2010-08-02,0.550164834801512,1523556,16961510
A2,2010-08-09,0.663152514077425,2449612,16902811
A2,2010-08-16,0.554881639246891,2736269,15544923
A2,2010-08-23,0.596806460177872,3587973,17342060
A2,2010-08-30,0.574451282327717,1710147,40551940
A2,2010-09-06,0.532732709823166,2463071,35314977
A2,2010-09-13,0.579565649447542,3749927,31815815
A2,2010-09-20,0.639123627962093,4636001,31719590
A2,2010-09-27,0.654112491624131,3571115,42582367
A2,2010-10-04,0.575873194391701,3717136,23569386
A2,2010-10-11,0.670187697594029,2748717,24215961
A2,2010-10-18,0.685007691603109,4001144,29581869
A2,2010-10-25,0.568382002160953,4785963,39269064
A2,2010-11-01,0.517813301095211,5247844,50216867
A2,2010-11-08,0.708991922246193,3176945,33910404
A2,2010-11-15,0.573393754444416,4825183,38172932
A2,2010-11-22,0.591810056392351,7640132,50809192
A2,2010-11-29,0.620873009308034,8030500,72221513
A2,2010-12-06,0.618673235344187,5164392,48942867
A2,2010-12-13,0.645517944514123,4648561,37950900
A2,2010-12-20,0.56591233320379,3630854,30414826
A2,2010-12-27,0.626227889781131,3158929,35139181
A2,2011-01-03,0.600291933281472,2800615,17377641
A2,2011-01-10,0.54996866484648,6337324,28423185
A2,2011-01-17,0.604122147792512,4093619,27402340
A2,2011-01-24,0.636376380115663,1755639,18063440
A2,2011-01-31,0.658000033992939,1843647,27889456
A2,2011-02-07,0.544185445473513,538569,27551743
A2,2011-02-14,0.58367560188616,1807421,13611824
A2,2011-02-21,0.571085310472433,1917811,10631252
A2,2011-02-28,0.655892756191518,3229245,16277152
A2,2011-03-07,0.616799069987465,2188919,10392714
A2,2011-03-14,0.560066661261875,2309356,32605570
A2,2011-03-21,0.620929753133188,2496314,35705280
A2,2011-03-28,0.533650227603143,2195876,34274107
A2,2011-04-04,0.521431110001218,347151,37852904
A2,2011-04-11,0.546409908739623,1118037,20044840
A2,2011-04-18,0.70419204299826,2155189,23059424
A2,2011-04-25,0.616689915883923,1994424,37103621
A2,2011-05-02,0.573924542538888,1872718,28583228
A2,2011-05-09,0.623052222211108,957684,28592303
A2,2011-05-16,0.578846480623865,1230831,32474954
A2,2011-05-23,0.619625305557825,237463,39153137
A2,2011-05-30,0.545705959157448,2007063,25385508
A2,2011-06-06,0.578280423853088,1579819,21256001
A2,2011-06-13,0.564698413872678,835216,20575117
A2,2011-06-20,0.552616014480231,516533,26450365
