MondayOfWeek,Brand,Qty,Price
2007-04-30,B,36,20.4483333333333
2007-04-30,C,9,11.99
2007-05-07,A,45,18.6088888888889
2007-05-07,B,35,19.25
2007-05-07,C,13,9.14384615384615
2007-05-14,A,54,17.5474074074074
2007-05-14,B,43,20.9690697674419
2007-05-14,C,15,9.12333333333333
2007-05-21,A,44,18.7490909090909
2007-05-21,B,37,20.117027027027
2007-05-21,C,12,9.65666666666667
2007-05-28,A,49,15.7504081632653
2007-05-28,B,20,18.14
2007-05-28,C,9,10.8788888888889
