store,date_of_week,sales,price
STORE2,2011-07-23,2189,2.8137087912087915
STORE2,2011-07-30,2287,2.8056034482758623
STORE2,2011-08-06,2448,2.7940934065934067
STORE2,2011-08-13,2293,2.798861111111111
STORE2,2011-08-20,2237,2.8871686746987955
STORE2,2011-08-27,2516,2.8202989130434784
STORE2,2011-09-03,2319,2.7815053763440862
STORE2,2011-09-10,2600,2.876846590909091
STORE2,2011-09-17,2332,2.7707303370786516
STORE2,2011-09-24,2138,2.8619021739130437
STORE2,2011-10-01,2101,2.8890263157894736
STORE2,2011-10-08,1966,2.9095430107526883
STORE2,2011-10-15,2305,2.889483695652174
STORE2,2011-10-22,1873,2.9527222222222225
STORE2,2011-10-29,1932,2.894232954545455
STORE2,2011-11-05,1772,2.9027034883720932
STORE2,2011-11-12,1777,2.86497311827957
STORE2,2011-11-19,1651,2.9235057471264367
STORE2,2011-11-26,2301,2.886424731182796
STORE2,2011-12-03,1435,2.7789244186046513
STORE2,2011-12-10,1633,2.853214285714286
STORE2,2011-12-17,1641,2.7722159090909093
STORE2,2011-12-24,2617,2.868516483516484
STORE2,2011-12-31,2490,2.907305555555556
STORE3,2011-01-01,1527,2.4454819277108433
STORE3,2011-01-08,690,2.3863
STORE3,2011-01-15,751,2.4078289473684213
STORE3,2011-01-22,764,2.5402333333333336
STORE3,2011-01-29,793,2.565506329113924
STORE3,2011-02-05,828,2.3755128205128204
STORE3,2011-02-12,866,2.508101265822785
STORE3,2011-02-19,804,2.4523333333333333
STORE3,2011-02-26,797,2.5923076923076924
STORE3,2011-03-05,821,2.5055666666666667
STORE3,2011-03-12,852,2.5733
STORE3,2011-03-19,952,2.5144333333333333
STORE3,2011-03-26,750,2.6030555555555557
STORE3,2011-04-02,858,2.595065789473684
STORE3,2011-04-09,974,2.611851851851852
STORE3,2011-04-16,1093,2.5658223684210526
STORE3,2011-04-23,1142,2.565506329113924
STORE3,2011-04-30,1286,2.6402409638554216
STORE3,2011-05-07,1152,2.5964240506329115
STORE3,2011-05-14,701,2.542694805194805
STORE3,2011-05-21,1058,2.5612820512820513
STORE3,2011-05-28,1423,2.5655722891566266
STORE3,2011-06-04,1771,2.528511904761905
STORE3,2011-06-11,1230,2.6124117647058824
STORE3,2011-06-18,1559,2.6689024390243903
STORE3,2011-06-25,1704,2.52400641025641
STORE3,2011-07-02,2079,2.5564583333333335
STORE3,2011-07-09,1933,2.529125
STORE3,2011-07-16,1095,2.539298780487805
STORE3,2011-07-23,1795,2.633294117647059
STORE3,2011-07-30,1528,2.573558823529412
STORE3,2011-08-06,1305,2.4948765432098767
STORE3,2011-08-13,1409,2.613452380952381
STORE3,2011-08-20,1367,2.559367469879518
STORE3,2011-08-27,1482,2.4983231707317075
STORE3,2011-09-03,1682,2.556934523809524
STORE3,2011-09-10,1524,2.4942469879518074
STORE3,2011-09-17,1828,2.5215406976744186
STORE3,2011-09-24,1250,2.40996875
STORE3,2011-10-01,1266,2.631890243902439
STORE3,2011-10-08,1277,2.6429411764705883
STORE3,2011-10-15,1283,2.6475602409638554
STORE3,2011-10-22,1014,2.5265384615384616
STORE3,2011-10-29,1147,2.4909294871794874
STORE3,2011-11-05,1057,2.5835882352941177
