MondayOfWeek,Brand,Qty,Price
1/15/2007,C,12,9.323333333
1/22/2007,A,43,16.3155814
1/22/2007,B,26,20.14384615
1/22/2007,C,8,8.99
1/29/2007,A,37,18.46297297
1/29/2007,B,42,18.8352381
1/29/2007,C,13,9.143846154
2/5/2007,A,34,19.88705882
2/5/2007,B,46,19.03347826
2/5/2007,C,13,9.682307692
2/12/2007,A,47,15.04319149
2/12/2007,B,40,19.3575
2/12/2007,C,5,10.59
2/19/2007,A,46,15.92478261
2/19/2007,B,35,21.56142857
2/19/2007,C,9,8.323333333
2/26/2007,A,42,18.83547619
2/26/2007,B,49,17.76755102
2/26/2007,C,15,9.99
3/5/2007,A,38,17.79578947
3/5/2007,B,36,18.36861111
3/5/2007,C,10,10.39
3/12/2007,A,48,18.42229167
3/12/2007,B,31,19.96258065
3/12/2007,C,6,9.656666667
3/19/2007,A,52,16.20730769
3/19/2007,B,39,19.89769231
3/19/2007,C,13,9.143846154
3/26/2007,A,37,17.86297297
3/26/2007,B,43,18.8155814
3/26/2007,C,10,9.89
4/2/2007,A,39,18.02846154
4/2/2007,B,34,19.28411765
4/2/2007,C,11,9.899090909
4/9/2007,A,53,15.77301887
4/9/2007,B,38,19.88736842
4/9/2007,C,6,8.49
4/16/2007,A,64,16.0340625
4/16/2007,B,20,20.92
4/16/2007,C,12,7.49
4/23/2007,A,43,15.96906977
4/23/2007,B,32,21.9025
4/23/2007,C,9,7.656666667
4/30/2007,A,51,17.04294118
4/30/2007,B,36,20.44833333
4/30/2007,C,9,11.99
5/7/2007,A,45,18.60888889
5/7/2007,B,35,19.25
5/7/2007,C,13,9.143846154
5/14/2007,A,54,17.54740741
5/14/2007,B,43,20.96906977
5/14/2007,C,15,9.123333333
5/21/2007,A,44,18.74909091
5/21/2007,B,37,20.11702703
5/21/2007,C,12,9.656666667
5/28/2007,A,49,15.75040816
5/28/2007,B,20,18.14
5/28/2007,C,9,10.87888889
